mode,date,tap,loc,count
bus,20160809,on,2064,1232
bus,20160809,on,2065,8887
bus,20160809,on,2066,7793
bus,20160809,on,2067,9080
bus,20160809,on,2778,79
bus,20160809,on,2526,1112
bus,20160809,on,2770,7861
bus,20160809,on,2557,117
bus,20160809,on,2774,728
bus,20160809,on,2782,156
bus,20160809,on,2776,317
bus,20160809,on,2777,1797
bus,20160809,on,2766,1397
bus,20160809,on,2768,3764
bus,20160809,on,2231,87
bus,20160809,on,2753,370
bus,20160809,on,2517,547
bus,20160809,on,2785,104
bus,20160809,on,2147,4001
bus,20160809,on,2527,1337
bus,20160809,on,2195,616
bus,20160809,on,2500,5520
bus,20160809,on,2783,86
bus,20160809,on,2146,1323
bus,20160809,on,2300,1459
bus,20160809,on,2303,794
bus,20160809,on,2302,943
bus,20160809,on,2305,887
bus,20160809,on,2304,1078
bus,20160809,on,2307,123
bus,20160809,on,2306,129
bus,20160809,on,2173,882
bus,20160809,on,2079,263
bus,20160809,on,2108,148
bus,20160809,on,2176,4778
bus,20160809,on,2177,952
bus,20160809,on,2174,86
bus,20160809,on,2762,577
bus,20160809,on,2073,940
bus,20160809,on,2072,1697
bus,20160809,on,2071,850
bus,20160809,on,2070,957
bus,20160809,on,2077,3793
bus,20160809,on,2076,1367
bus,20160809,on,2075,2279
bus,20160809,on,2074,2733
bus,20160809,on,2289,1302
bus,20160809,on,2769,379
bus,20160809,on,2283,1039
bus,20160809,on,2259,3769
bus,20160809,on,2559,272
bus,20160809,on,2280,1361
bus,20160809,on,2281,438
bus,20160809,on,2282,615
bus,20160809,on,2258,274
bus,20160809,on,2284,738
bus,20160809,on,2285,1091
bus,20160809,on,2286,163
bus,20160809,on,2287,1435
bus,20160809,on,2257,1728
bus,20160809,on,2203,1683
bus,20160809,on,2765,536
bus,20160809,on,2256,2224
bus,20160809,on,2171,1223
bus,20160809,on,2516,360
bus,20160809,on,2046,4226
bus,20160809,on,2047,4610
bus,20160809,on,2044,1142
bus,20160809,on,2045,1295
bus,20160809,on,2042,7896
bus,20160809,on,2043,499
bus,20160809,on,2040,6576
bus,20160809,on,2041,3373
bus,20160809,on,2107,913
bus,20160809,on,2278,115
bus,20160809,on,2048,553
bus,20160809,on,2049,1445
bus,20160809,on,2168,3253
bus,20160809,on,2166,3135
bus,20160809,on,2165,5315
bus,20160809,on,2164,2399
bus,20160809,on,2167,823
bus,20160809,on,2148,14691
bus,20160809,on,2159,340
bus,20160809,on,2160,3798
bus,20160809,on,2163,619
bus,20160809,on,2162,1222
bus,20160809,on,2143,203
bus,20160809,on,2299,1187
bus,20160809,on,2298,729
bus,20160809,on,2779,260
bus,20160809,on,2293,41
bus,20160809,on,2292,949
bus,20160809,on,2291,315
bus,20160809,on,2290,2380
bus,20160809,on,2297,237
bus,20160809,on,2296,210
bus,20160809,on,2295,257
bus,20160809,on,2294,86
bus,20160809,on,2190,1402
bus,20160809,on,2191,321
bus,20160809,on,2192,757
bus,20160809,on,2193,1023
bus,20160809,on,2194,4102
bus,20160809,on,2161,963
bus,20160809,on,2196,1558
bus,20160809,on,2197,600
bus,20160809,on,2198,442
bus,20160809,on,2199,974
bus,20160809,on,2560,7693
bus,20160809,on,2502,1251
bus,20160809,on,2200,9143
bus,20160809,on,2050,12314
bus,20160809,on,2128,332
bus,20160809,on,2204,5566
bus,20160809,on,2205,498
bus,20160809,on,2057,542
bus,20160809,on,2207,1801
bus,20160809,on,2208,1117
bus,20160809,on,2209,842
bus,20160809,on,2563,81
bus,20160809,on,2565,1512
bus,20160809,on,2564,1078
bus,20160809,on,2567,1440
bus,20160809,on,2566,1682
bus,20160809,on,2118,2429
bus,20160809,on,2119,219
bus,20160809,on,2263,1518
bus,20160809,on,2110,1334
bus,20160809,on,2111,3352
bus,20160809,on,2112,5918
bus,20160809,on,2113,13369
bus,20160809,on,2114,2434
bus,20160809,on,2115,1395
bus,20160809,on,2116,1315
bus,20160809,on,2117,1874
bus,20160809,on,2330,956
bus,20160809,on,2773,189
bus,20160809,on,2264,466
bus,20160809,on,2752,68
bus,20160809,on,2122,5456
